SITE,PLOT,BRC,DBH_class,Count,Yr,BRC names
95,16,9201023,3,7,2,Ilex aquifolium
95,16,920810,5,1,2,Fagus sylvatica
95,16,9201023,5,1,2,Ilex aquifolium
95,16,9201960,5,1,2,Sorbus aucuparia
95,16,9204446,6,1,2,Quercus seedling/sp
95,16,920810,7,1,2,Fagus sylvatica
95,16,9201960,7,1,2,Sorbus aucuparia
95,16,9204446,10,2,2,Quercus seedling/sp
101,1,920557,1,2,2,Corylus avellana
101,1,9201023,1,6,2,Ilex aquifolium
101,1,9204445,2,1,2,Betula seedling/sp
101,1,9204446,2,2,2,Quercus seedling/sp
101,1,9204445,3,1,2,Betula seedling/sp
101,1,9204446,4,1,2,Quercus seedling/sp
101,1,9204445,4,2,2,Betula seedling/sp
101,1,9204446,6,1,2,Quercus seedling/sp
101,1,9204446,7,1,2,Quercus seedling/sp
101,1,9204445,8,1,2,Betula seedling/sp
101,1,9204446,8,1,2,Quercus seedling/sp
101,2,9204446,1,2,2,Quercus seedling/sp
