year,Plot,Nest,Site,Cove,BRC,BRC names,Woody
1,12,1,2,0.5,9201023.0,Ilex aquifolium,w
1,12,1,2,1.0,9201188.0,Lonicera periclymenum,w
1,12,1,2,30.0,9201728.0,Rubus fruticosus agg.,
1,12,2,2,0.5,920432.0,Castanea sativa,w
1,12,2,2,0.5,920627.0,Deschampsia cespitosa,
1,12,2,2,0.5,920628.0,Deschampsia flexuosa,
1,12,2,2,0.5,9201951.0,Solidago virgaurea,
1,12,3,2,0.5,92040.0,Agrostis capillaris,
1,12,3,2,1.0,920687.0,Hyacinthoides non-scripta,
1,12,4,2,0.5,920918.0,Geranium robertianum,
1,12,4,2,0.5,9201207.0,Luzula pilosa,
1,12,4,2,0.5,9201413.0,Oxalis acetosella,
1,13,1,2,85.0,9101619.0,Pteridium aquilinum,
1,13,1,2,0.5,9201023.0,Ilex aquifolium,w
1,13,1,2,5.0,9201188.0,Lonicera periclymenum,w
1,13,3,2,1.0,9201307.0,Molinia caerulea,
1,13,3,2,0.5,9202136.0,Vaccinium myrtillus,
1,13,4,2,0.5,920183.0,Galium odoratum,
1,13,4,2,5.0,920628.0,Deschampsia flexuosa,
1,13,4,2,0.5,920695.0,Epilobium montanum,
1,13,5,2,0.5,9202560.0,Hieracium 'indeterminate',
1,14,1,2,60.0,9101619.0,Pteridium aquilinum,
1,14,1,2,1.0,9201188.0,Lonicera periclymenum,w
1,14,1,2,10.0,9201728.0,Rubus fruticosus agg.,
1,14,2,2,0.5,920952.0,Hedera helix,
1,14,2,2,0.5,9201023.0,Ilex aquifolium,w
1,15,1,2,1.0,920628.0,Deschampsia flexuosa,
